name,candidate,party,total
denver,Allyson Kennedy,socialist workers,62
denver,Bradford Lyttle / Hannah Walsh,nonviolent resistance/pacifist,45
denver,Brian Anthony Perry / Michael Byron Nelson,,0
denver,Bruce Lohmiller / J.R. Smith,green / democratic,0
denver,Cherunda Fox / Roger Kushner,,0
denver,Chris Keniston / Deacon Taylor,veterans party of america,290
denver,Corey Sterner / Jeff Ryan,none / republican,0
denver,Darrell Castle,constitution,623
denver,"David Perry / Eric """"Rick"""" Seiley",republican,0
denver,Donald Trump,republican,62690
denver,Emidio Soltysik / Angela Nicole Walker,socialist party usa,54
denver,Evan McMullin,,2110
denver,Frank Atwood / Blake Huber,approval voting,46
denver,Gary Johnson,libertarian,14861
denver,Gloria La Riva,socialism and liberation,75
denver,Hillary Clinton,democratic,244551
denver,James Hedges / Bill Bayes,prohibition,20
denver,Jill Stein,green,5580
denver,Joseph Allen Maldonado / Douglas K. Terranova,independent people of colorado,83
denver,Kyle Kenley Kopitke / Nathan R. Sorenson,independent american,110
denver,Laurence Kotlikoff / Edward Leamer,kotlikoff for president,43
denver,Michael A. Maturen / Juan Munoz,american solidarity,121
denver,Mike Smith / Daniel White,,122
denver,Rocky De La Fuente,american delta,166
denver,Rod Silva / Richard C. Silva,nutrition,76
denver,Ryan Alan Scott / Bruce Kendall Barnard,,49
denver,Thomas J. Nieman / Bernie Jackson,none / libertarian,0
denver,Tom Hoefling / Steve Schulin,america's party,75
