name,winner,winner_party,second_name,second_party
PA-03,GEORGE J KELLY,republican,,
PA-03
PA-13,BRENDAN F BOYLE,democratic,,
PA-18,TIMOTHY F MURPHY,republican,,
PA-18
WI-04,Gwen S. Moore,democratic,Robert R. Raymond,independent
WI-03,Ron Kind,democratic,,
VA-11,GERALD EDWARD CONNOLLY,democratic,,
GA-09,DOUG COLLINS,republican,,
GA-09
GA-01,Earl Carter,republican,Nathan Russo,
GA-01
GA-10,JODY HICE,republican,Leonard Ware,
GA-10
GA-13,DAVID SCOTT,democratic,,
GA-14,TOM GRAVES,republican,Patrick A. Boggs,
GA-14
AZ-08,Trent Franks,republican,Mark Salazar,green
AZ-08
AZ-03,Raul Grijalva,democratic,,
AL-01,Bradley Byrne,republican,,
AL-01
AL-04,Robert Aderholt,republican,,
AL-04
AL-07,Terri A. Sewell,democratic,,
AR-04,Bruce Westerman,republican,Kerry Hicks,libertarian
AR-04
AR-01,Rick Crawford,republican,Mark West,libertarian
AR-01
AR-03,Steve Womack,republican,Steve Isaacson,libertarian
AR-03
CA-34,Xavier Becerra,democratic,Adrienne Nicole Edwards,democratic
CA-32,Grace F. Napolitano,democratic,Roger Hernandez,democratic
CA-44,Nanette Diaz Barragan,democratic,"Isadore Hall, III",democratic
CA-40,Lucille Roybal-Allard,democratic,Roman Gabriel Gonzalez,
CA-37,Karen Bass,democratic,Chris Blake Wiggins,democratic
CA-29,Tony Cardenas,democratic,Richard Alarcon,democratic
CA-17,Ro Khanna,democratic,Mike Honda,democratic
CA-12,Nancy Pelosi,democratic,Preston Picus,
CA-46,Lou Correa,democratic,Bao Nguyen,democratic
DC-00,Eleanor Holmes Norton,democratic,Martin Moulton,libertarian
IL-04,LUIS V. GUTIERREZ,democratic,,
IL-15,JOHN M. SHIMKUS,republican,,
IL-15
IL-16,ADAM KINZINGER,republican,,
IL-16
IL-03,DANIEL WILLIAM LIPINSKI,democratic,,
IN-01,Peter Visclosky,democratic,Donna Dunn,libertarian
KS-01,"Marshall, Roger",republican,"LaPolice, Alan",independent
KS-01
KY-05,"Harold """"Hal"""" Rogers",republican,,
KY-05
KY-02,S. Bret Guthrie,republican,,
KY-02
LA-03,Scott A. Angelle,republican,Clay Higgins,republican
LA-03
LA-05,Ralph Abraham,republican,Billy Burkette,republican
LA-05
LA-02,Cedric Richmond,democratic,"Melvin L. ""Kip"" Holden",democratic
MA-06,Seth W. Moulton,democratic,,
MA-02,James P. McGovern,democratic,,
MA-01,Richard E. Neal,democratic,Frederick O. Mayock,unenrolled
MA-07,Michael E. Capuano,democratic,,
MA-05,Katherine M. Clark,democratic,,
NE-03,Adrian Smith,republican,,
NE-03
NY-17,Nita Lowey,democratic,,
NY-09,Yvette Clarke,democratic,Alan Bellone,conservative
NY-08,Hakeem Jeffries,democratic,Daniel Cavanagh,conservative
NY-15,Jose Serrano,democratic,,
NY-16,Eliot Engel,democratic,Derickson Lawrence,people's choice
TX-20,Castro,democratic,Blunt,libertarian
TX-11,Conaway,republican,Landholt,libertarian
TX-11
TX-13,Thornberry,republican,DeWeese,libertarian
TX-13
TX-16,O'Rourke,democratic,Perez,libertarian
TX-36,Babin,republican,Ridley,green
TX-36
TX-19,Arrington,republican,Bonar,libertarian
TX-19
TX-04,Ratcliffe,republican,Wommack,libertarian
TX-04
TX-32,Sessions,republican,Rankin,libertarian
TX-32
TX-05,Hensarling,republican,Ashby,libertarian
TX-05
VT-00,Peter Welch,democratic,Erica Clawson,Liberty Union
WA-07,Pramila Jayapal,democratic,Brady Pinero Walkinshaw,democratic
WA-04,Dan Newhouse,republican,Clint Didier,republican
WA-04
