fips,dem_margin,dem_votes,gop_votes,total_votes,dem_candidate,gop_candidate
33009,0.1465535900513567,28127,20679,50821,474,473
36043,0.1349837662337663,13702,10376,24640,477,485
39109,-0.6052111514035189,9202,40745,52119,524,522
40065,-0.6233883445074782,1229,6064,7756,528,526
19135,-0.30701068543132654,1280,2458,3837,425,422
18021,-0.22132253711201078,3979,6439,11115,414,416
37085,-0.22908336064678247,16821,27305,45765,513,514
38063,-0.5828571428571429,323,1343,1750,516,518
49051,-0.46851851851851856,2898,8464,11880,549,548
20185,-0.7116924719701014,230,1563,1873,431,430
17179,-0.2676903889625068,21215,38386,64145,407,405
39165,-0.5409264153082673,23827,85848,114657,524,522
45017,-0.08325212306835589,3236,3834,7183,542,543
46105,-0.7121495327102805,231,1374,1605,545,546
13175,-0.3733868343997397,5563,12449,18442,394,395
13201,-0.5308098591549296,503,1709,2272,394,395
38041,-0.8271604938271605,88,1160,1296,516,518
19123,-0.5256630414043122,2302,7812,10482,425,422
37051,0.1416271514920453,69733,51902,125901,513,514
46019,-0.6488372093023256,755,3545,4300,545,546
00005,-0.3246235036684258,965,3487,7769,347,349
08069,0.04997266152909746,95789,86101,193866,365,362
20157,-0.7369052379048381,274,2117,2501,431,430
40017,-0.5995477159656265,8987,42127,55275,528,526
32003,0.10955036783257643,386121,303623,753060,464,466
45069,0.1283066027910852,5364,4132,9602,542,543
08061,-0.5071599045346062,196,621,838,365,362
29091,-0.44379722013956974,4375,12070,17339,454,457
00025,-0.31926651595076616,1014,3556,7962,347,349
40093,-0.8240822320117474,226,3032,3405,528,526
37065,0.30407790626902015,15847,8353,24645,513,514
